iter	Logloss
0	0.654876144
1	0.6250217279
2	0.6012112091
3	0.5820250544
4	0.5662367134
5	0.5539541659
6	0.543241338
7	0.5345518776
8	0.5277753751
9	0.5214662308
10	0.5164387898
11	0.5124707402
12	0.5089115987
13	0.5056269368
14	0.5028757539
15	0.5005707913
16	0.4982002632
17	0.4965543225
18	0.4950990043
19	0.4936250125
20	0.4921452243
21	0.4910315131
22	0.4898864943
23	0.4887819116
24	0.487914878
25	0.4870640883
26	0.486110629
27	0.4853853822
28	0.4845987349
29	0.4839718537
30	0.4832668075
31	0.4826744619
32	0.4821214416
33	0.481554503
34	0.4809805879
35	0.4804600901
36	0.4799979036
37	0.4796179777
38	0.4791933117
39	0.4787351514
40	0.4782908748
41	0.4779213269
42	0.4775868353
43	0.4771026085
44	0.4767267435
45	0.4764582338
46	0.4761113857
47	0.4757886604
48	0.4754422982
49	0.4751758711
50	0.47489858
51	0.4745244505
52	0.4742335534
53	0.4739599762
54	0.4736691486
55	0.4734406932
56	0.4731296649
57	0.4728461609
58	0.4725722019
59	0.4723015403
60	0.4720788466
61	0.4718350845
62	0.4716054491
63	0.471374807
64	0.4711047007
65	0.4708904414
66	0.4706981182
67	0.47044495
68	0.4702039646
69	0.4699939398
70	0.4697974515
71	0.4696221705
72	0.4694247451
73	0.4692230505
74	0.4690511362
75	0.4688562793
76	0.4686722863
77	0.4684906882
78	0.4683281108
79	0.4681531074
80	0.4680082316
81	0.4678323606
82	0.4676663469
83	0.4674594806
84	0.4673145701
85	0.467161607
86	0.4670068044
87	0.4668517241
88	0.4666485717
89	0.4664991142
90	0.4663240068
91	0.4661400485
92	0.4659548407
93	0.4658071534
94	0.4656369399
95	0.4655065031
96	0.4653656188
97	0.4651898519
98	0.465014432
99	0.4648466482
100	0.4647479702
101	0.4645894537
102	0.464450166
103	0.4643099065
104	0.4641539238
105	0.4640074166
106	0.4638607359
107	0.4637641752
108	0.463599654
109	0.4634889667
110	0.4633627296
111	0.4632428097
112	0.4631436804
113	0.463022025
114	0.462855699
115	0.4627081158
116	0.4625918056
117	0.4624731004
118	0.4623979552
119	0.4622316986
120	0.4621055657
121	0.4619766908
122	0.4618605541
123	0.4617640975
124	0.4616472319
125	0.4615424104
126	0.4614431423
127	0.4613311013
128	0.4611532171
129	0.461047875
130	0.4609424634
131	0.4607990107
132	0.4606729472
133	0.4605653142
134	0.4604557028
135	0.4603653203
136	0.4602181884
137	0.4600636287
138	0.4599107698
139	0.4598103564
140	0.4597108801
141	0.4595728419
142	0.459445876
143	0.4593219298
144	0.4592130126
145	0.4590916001
146	0.4590050356
147	0.4589168397
148	0.4588001824
149	0.4586758197
150	0.4585944962
151	0.4584883211
152	0.458372948
153	0.4582587897
154	0.4581467834
155	0.4580672302
156	0.457891255
157	0.4577631784
158	0.4576344423
159	0.4575351742
160	0.4574331294
161	0.4573637112
162	0.4572162669
163	0.4570759033
164	0.4569884363
165	0.4568231515
166	0.4567020862
167	0.4566064278
168	0.4565287489
169	0.4564248298
170	0.4563389594
171	0.4562302158
172	0.4561387573
173	0.4560386562
174	0.4559519182
175	0.4558418209
176	0.4557041645
177	0.4555589069
178	0.4554302055
179	0.4553020248
180	0.4551725251
181	0.4550687796
182	0.4549721147
183	0.4547856574
184	0.4546901726
185	0.4545854899
186	0.4544446751
187	0.4543281566
188	0.4542297215
189	0.4541169864
190	0.4540001208
191	0.4538947092
192	0.4538222019
193	0.4537047116
194	0.4535953779
195	0.4534491484
196	0.4533840688
197	0.4532896947
198	0.4531605768
199	0.4530466962
200	0.452977278
201	0.4528415307
202	0.4527176192
203	0.4526073483
204	0.4524772239
205	0.4524024605
206	0.4522872262
207	0.4521773025
208	0.4520903561
209	0.4519650563
210	0.4518798107
211	0.4517922049
212	0.4516679116
213	0.4515386896
214	0.4514885002
215	0.4513823597
216	0.4512998562
217	0.4512265505
218	0.4511145442
219	0.4510196842
220	0.4508788
221	0.4507903959
222	0.4507084129
223	0.4505988016
224	0.4505039069
225	0.450398287
226	0.4502534459
227	0.4501418561
228	0.4500770889
229	0.4499406821
230	0.449806705
231	0.449743222
232	0.4496627316
