id,price,price_category,is_audi,is_ford,is_chevrolet,is_toyota,is_jeep,is_honda,is_nissan,x0_diesel,x0_electric,x0_gas,x0_hybrid,x0_other,std_scaled_odometer,lat_std,long_std,year_std,odometer_std,price_std,desc_len_std,model_in_desc_std,model_len_std,model_word_count_std,diff_years_std,dayofweek_std,month_std
7308295377,54990,high,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-1.079389641933955,-0.6191724843389526,0.4842445204257305,1.322393759177325,-1.079389641933955,2.9585085922449723,0.6320747936863392,-0.15578836267425705,1.1630323772786055,1.9106690058100217,-1.3223937591773156,1.1202842336454062,-0.6158456337147559
7316380095,16942,medium,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,-0.5601147735759577,0.3880142853972564,1.110799888796898,0.6959727225612214,-0.5601147735759577,-0.08582617002890905,-0.6467813591265758,-0.15578836267425705,0.9320873423486308,1.2357993562346317,-0.695972722561212,-1.3749721094831915,1.6237835347927054
7313733749,35590,high,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,-1.2928627577618,-0.8430590466338167,0.5311849953919096,0.8525779817152472,-1.2928627577618,1.406256321741574,0.560744171617093,-0.15578836267425705,0.47019727248868126,0.5609297066592416,-0.8525779817152379,-0.37686957223175244,-0.6158456337147559
7308210929,14500,medium,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.3526206599934779,-0.504509077584377,0.8535623741527076,0.22615694509914375,0.35262065999347797,-0.28121792490361514,0.18043549782953003,-0.15578836267425705,-0.9154729370911673,-0.7888095924915387,-0.22615694509913434,1.1202842336454062,-0.6158456337147559
7303797340,14590,medium,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,-0.2343108737885301,-0.46010081140660797,0.5576074758041651,0.06955168594511787,-0.23431087378853016,-0.2740167545765375,0.7663656076840528,-0.15578836267425705,1.1630323772786055,1.9106690058100217,-0.06955168594510842,0.12218169639396706,-0.6158456337147559
7316793777,6700,low,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.8579976220500058,0.48436539612466734,0.009020576341517662,0.5393674634071955,0.8579976220500058,-0.9053193532503423,-0.8738747681633597,-0.15578836267425705,-0.3381103497662304,-0.11393994291614855,-0.5393674634071861,-0.875920840857472,1.6237835347927054
7311645793,3990,low,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.7956323613187563,-0.22710451156976932,0.7820533174573634,-1.3398956464411151,0.7956323613187563,-1.1221545930990129,-0.44115992305961593,0.26573857419316316,-0.6845279021611925,-0.7888095924915387,1.3398956464411247,0.6212329650196866,-0.6158456337147559
7315031640,14000,medium,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,-0.010063692983858,0.7537999469132569,0.4573610854442235,0.38276220425316965,-0.01006369298385806,-0.32122442672071305,-0.3356197169367516,-0.15578836267425705,-0.5690553846962052,-0.7888095924915387,-0.3827622042531602,0.6212329650196866,-0.6158456337147559
7313668490,10000,medium,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,-0.1301562663572201,0.43432441948876727,-0.112698703039644,0.6959727225612214,-0.1301562663572201,-0.6412764412574962,-0.983418223483988,-0.15578836267425705,-0.6845279021611925,-0.7888095924915387,-0.695972722561212,-0.37686957223175244,-0.6158456337147559
7314964736,4000,low,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.5551762691510173,0.5610491299363741,1.2594796062615858,-0.4002640915169598,0.5551762691510173,-1.1213544630626708,-0.9652216362214251,-0.15578836267425705,-0.6845279021611925,-0.7888095924915387,0.4002640915169693,0.6212329650196866,-0.6158456337147559
